Platform,Product Name,Price,Seller,Delivery Fees,Delivery Date,Product State,Timestamp
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","982.,70 €",Monsieurplus,Offerte,Prévue le 23/03/25,NEUF,18/03/2025 11:09:00
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","999.,99 €",Elplace,Offerte,Prévue le 22/03/25,NEUF,18/03/2025 11:09:00
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","1052.,78 €",GPASPLUS,Offerte,Prévue le 24/03/25,NEUF,18/03/2025 11:09:00
----------------------------------------------------------------------------------------------------------
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1381.,00 €",Techstarkshop,Offerte,Prévue entre le 19/03/25 et le 20/03/25,NEUF,18/03/2025 11:09:27
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1278.,98 €",TELBLUE LDA,Offerte,Prévue entre le 20/03/25 et le 21/03/25,NEUF,18/03/2025 11:09:27
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1279.,00 €",Stock e-commerce,Offerte,Prévue le 19/03/25,NEUF,18/03/2025 11:09:27
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1419.,92 €",Maxmovil,Offerte,Prévue entre le 20/03/25 et le 21/03/25,NEUF,18/03/2025 11:09:27
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1505.,85 €",Espace-Disque,Offerte,Prévue le 19/03/25,NEUF,18/03/2025 11:09:27
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1518.,60 €",Monsieurplus,Offerte,Prévue le 26/03/25,NEUF,18/03/2025 11:09:27
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1579.,99 €",GPASPLUS,Offerte,Prévue le 23/03/25,NEUF,18/03/2025 11:09:27
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1623.,55 €",ESSEBI SHOP,Offerte,Prévue le 23/03/25,NEUF,18/03/2025 11:09:27
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1814.,02 €",La Boutique du Net,Offerte,Prévue le 23/03/25,NEUF,18/03/2025 11:09:27
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1819.,16 €",Big Hub,Offerte,Prévue le 24/03/25,NEUF,18/03/2025 11:09:27
----------------------------------------------------------------------------------------------------------
