pfid,idsmartphone,url,timestamp,price,shipcost,rating,ratingnb,offertype,offerdetails,shipcountry,sellercountry
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1385.35,0.01,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1391.02,18.29,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1429.67,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1521.87,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1544.31,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1620.47,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1711.89,9.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1989.72,9.29,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1989.72,18.29,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1989.99,18.29,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,2019.27,0.0,,,NewCondition,,,
RAK,A1f,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484179,2024/11/05/14:39,979.99,0.0,,,NewCondition,,,
RAK,A1f,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484179,2024/11/05/14:39,1009.0,3.8,,,NewCondition,,,
RAK,A1f,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484179,2024/11/05/14:39,1032.0,0.0,,,NewCondition,,,
RAK,A1f,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484179,2024/11/05/14:39,1052.0,0.0,,,NewCondition,,,
RAK,A1f,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484179,2024/11/05/14:39,1118.88,0.0,,,NewCondition,,,
RAK,A1f,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484179,2024/11/05/14:39,1118.98,0.0,,,NewCondition,,,
RAK,A1f,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484179,2024/11/05/14:39,1119.0,0.0,,,NewCondition,,,
RAK,A1f,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484179,2024/11/05/14:39,1119.0,0.01,,,NewCondition,,,
